searched_name,id,display_name,works_api_url,h_index,works_count,country_code
Aakriti Kumar,https://openalex.org/A5125610127,Aakriti Kumar,https://api.openalex.org/works?filter=author.id:A5125610127,0.0,1.0,
Aaron Clauset,https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,47.0,267.0,
Aaron D Nichols,,,,,,
Aaron Reeves,https://openalex.org/A5039995516,Aaron Reeves,https://api.openalex.org/works?filter=author.id:A5039995516,48.0,254.0,
Aaron Schein,https://openalex.org/A5039072983,Aaron Schein,https://api.openalex.org/works?filter=author.id:A5039072983,8.0,39.0,
Abdulaziz Alhumaidy,,,,,,
Abdullah Almaatouq,https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,17.0,101.0,
Abhisek Dash,https://openalex.org/A5046983868,Abhisek Dash,https://api.openalex.org/works?filter=author.id:A5046983868,5.0,39.0,
Abraham Israeli,https://openalex.org/A5114386800,Abraham Israeli,https://api.openalex.org/works?filter=author.id:A5114386800,1.0,3.0,
Achim Edelmann,https://openalex.org/A5112979870,Achim Edelmann,https://api.openalex.org/works?filter=author.id:A5112979870,1.0,7.0,
Achyutarama R Ganti,,,,,,
Adam (Zhengzi) Zhou,,,,,,
Adam Stefkovics,https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,7.0,46.0,
Adel Daoud,https://openalex.org/A5125730077,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5125730077,0.0,2.0,
Adeline Clarke,https://openalex.org/A5099120990,Adeline Clarke,https://api.openalex.org/works?filter=author.id:A5099120990,0.0,3.0,
Adiba Mahbub Proma,https://openalex.org/A5011112366,Adiba Mahbub Proma,https://api.openalex.org/works?filter=author.id:A5011112366,2.0,12.0,
Adolfo Fuentes-Jofre,,,,,,
Adrien Letellier,https://openalex.org/A5119911756,Adrien Letellier,https://api.openalex.org/works?filter=author.id:A5119911756,0.0,1.0,
Adriënne Mendrik,https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,14.0,43.0,
Agnieszka Czaplicka,https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6.0,23.0,
Agnieszka Falenska,https://openalex.org/A5037220308,Agnieszka Faleńska,https://api.openalex.org/works?filter=author.id:A5037220308,8.0,35.0,
Agostino Merico,https://openalex.org/A5067493080,Agostino Merico,https://api.openalex.org/works?filter=author.id:A5067493080,34.0,94.0,
Agustin Orozco,https://openalex.org/A5109441296,Agustin Orozco,https://api.openalex.org/works?filter=author.id:A5109441296,1.0,6.0,
Ahmet Furkan Ün,https://openalex.org/A5115780938,Ahmet Furkan Un,https://api.openalex.org/works?filter=author.id:A5115780938,0.0,2.0,
Aimee Smith,https://openalex.org/A5087593137,Aimee E. Smith,https://api.openalex.org/works?filter=author.id:A5087593137,2.0,6.0,
Akhil Arora,https://openalex.org/A5103180781,Akhil Arora,https://api.openalex.org/works?filter=author.id:A5103180781,7.0,29.0,
Akihiro Kameda,https://openalex.org/A5055931257,Kameda Akihiro,https://api.openalex.org/works?filter=author.id:A5055931257,1.0,3.0,
Akiko Matsuo,https://openalex.org/A5125448304,Akiko Matsuo,https://api.openalex.org/works?filter=author.id:A5125448304,0.0,1.0,
Akira Matsui,https://openalex.org/A5018478540,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5018478540,5.0,19.0,
Akrati Saxena,https://openalex.org/A5121506531,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5121506531,0.0,9.0,
Alec Kirkley,https://openalex.org/A5058731900,Alec Kirkley,https://api.openalex.org/works?filter=author.id:A5058731900,11.0,60.0,
Alejandro De la fuente Cuesta,,,,,,
Aleksandra Torbica,https://openalex.org/A5008132739,Aleksandra Torbica,https://api.openalex.org/works?filter=author.id:A5008132739,35.0,190.0,
Alessandro Cortese,https://openalex.org/A5123994463,Alessandro Cortese,https://api.openalex.org/works?filter=author.id:A5123994463,0.0,2.0,
Alessandro Flammini,https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,61.0,243.0,
Alessandro Galeazzi,https://openalex.org/A5047301239,Alessandro Galeazzi,https://api.openalex.org/works?filter=author.id:A5047301239,13.0,52.0,
Alessandro Lomi,https://openalex.org/A5018108132,Alessandro Lomi,https://api.openalex.org/works?filter=author.id:A5018108132,35.0,187.0,
Alessandro Pluchino,https://openalex.org/A5032482559,Alessandro Pluchino,https://api.openalex.org/works?filter=author.id:A5032482559,32.0,218.0,
Alessandro Riboni,https://openalex.org/A5046449396,Alessandro Riboni,https://api.openalex.org/works?filter=author.id:A5046449396,14.0,53.0,
Alessia Galdeman,https://openalex.org/A5117865469,Alessia Galdeman,https://api.openalex.org/works?filter=author.id:A5117865469,1.0,2.0,
Alessia Melegaro,https://openalex.org/A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,41.0,136.0,
Alex Berke,https://openalex.org/A5007875216,Alex Berke,https://api.openalex.org/works?filter=author.id:A5007875216,10.0,37.0,
Alex Koch,https://openalex.org/A5007830440,Alex Koch,https://api.openalex.org/works?filter=author.id:A5007830440,24.0,79.0,
Alex Pentland,https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,121.0,1001.0,
Alexander Hartland,https://openalex.org/A5115861197,Alexander Hartland,https://api.openalex.org/works?filter=author.id:A5115861197,1.0,6.0,
Alexander Mintz,https://openalex.org/A5032193283,Alexander Mintz,https://api.openalex.org/works?filter=author.id:A5032193283,1.0,2.0,
Alexandra Rottenkolber,https://openalex.org/A5119600915,Alexandra Rottenkolber,https://api.openalex.org/works?filter=author.id:A5119600915,0.0,1.0,
Alexandra Segerberg,https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,14.0,38.0,
Alexandre Bovet,https://openalex.org/A5018986925,Alexandre Bovet,https://api.openalex.org/works?filter=author.id:A5018986925,15.0,84.0,
Alexandre Evsukoff,https://openalex.org/A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,20.0,126.0,
Alexandria Leto,https://openalex.org/A5093992721,Alexandria Leto,https://api.openalex.org/works?filter=author.id:A5093992721,1.0,4.0,
Alexi Quintana Mathé,https://openalex.org/A5020591202,Alexi Quintana Mathé,https://api.openalex.org/works?filter=author.id:A5020591202,1.0,5.0,
Ali Salloum,https://openalex.org/A5002402434,Ali Salloum,https://api.openalex.org/works?filter=author.id:A5002402434,5.0,20.0,
Ali Tafti,https://openalex.org/A5000760201,Ali Tafti,https://api.openalex.org/works?filter=author.id:A5000760201,15.0,62.0,
Aliakbar Akbaritabar,https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,12.0,57.0,
Alina Herderich,https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,4.0,20.0,
Alisa Kanganis,https://openalex.org/A5117815526,Alisa Kanganis,https://api.openalex.org/works?filter=author.id:A5117815526,0.0,2.0,
Allison Koenecke,https://openalex.org/A5087471530,Allison Koenecke,https://api.openalex.org/works?filter=author.id:A5087471530,10.0,47.0,
Almog Simchon,https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,10.0,51.0,
Alvin Zhou,https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,18.0,66.0,
Amal Labbouz,https://openalex.org/A5052432924,Amal Labbouz,https://api.openalex.org/works?filter=author.id:A5052432924,0.0,1.0,
Amir Ghasemian,https://openalex.org/A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,10.0,26.0,
Amir Goldberg,https://openalex.org/A5003121162,Amir Goldberg,https://api.openalex.org/works?filter=author.id:A5003121162,18.0,79.0,
Amir Tohidi Kalorazi,https://openalex.org/A5066951068,Amir Tohidi Kalorazi,https://api.openalex.org/works?filter=author.id:A5066951068,0.0,1.0,
AmirEmad Ghassami,https://openalex.org/A5078609284,AmirEmad Ghassami,https://api.openalex.org/works?filter=author.id:A5078609284,11.0,66.0,
Amirhossein Nakhaei,,,,,,
Amit Goldenberg,https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,30.0,171.0,
Amr Hilal,https://openalex.org/A5001076668,Amr Hilal,https://api.openalex.org/works?filter=author.id:A5001076668,5.0,23.0,
Amy L Murphy,https://openalex.org/A5002205400,Amy L. Murphy,https://api.openalex.org/works?filter=author.id:A5002205400,36.0,190.0,
Ana Ma,https://openalex.org/A5020523042,Ana Ma. Paniagua-Mercado,https://api.openalex.org/works?filter=author.id:A5020523042,6.0,6.0,
Ana Vranić,https://openalex.org/A5018089491,Ana Vranić,https://api.openalex.org/works?filter=author.id:A5018089491,3.0,15.0,
Anastasia Giachanou,https://openalex.org/A5126562654,Anastasia Giachanou,https://api.openalex.org/works?filter=author.id:A5126562654,0.0,1.0,
Anastasia Golovin,https://openalex.org/A5114170447,Anastasia Golovin,https://api.openalex.org/works?filter=author.id:A5114170447,1.0,2.0,
Anastasia Menshikova,https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2.0,6.0,
Anastassia Vybornova,https://openalex.org/A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,5.0,23.0,
Anca Balietti,https://openalex.org/A5009838386,Anca Balietti,https://api.openalex.org/works?filter=author.id:A5009838386,2.0,19.0,
Anders Giovanni Møller,https://openalex.org/A5020418858,Anders Giovanni Møller,https://api.openalex.org/works?filter=author.id:A5020418858,5.0,14.0,
Anders Weile,https://openalex.org/A5111510233,Anders Weile Larsen,https://api.openalex.org/works?filter=author.id:A5111510233,1.0,4.0,
Anding Wang,https://openalex.org/A5112747990,Anding Wang,https://api.openalex.org/works?filter=author.id:A5112747990,3.0,12.0,
Andrea Bamberg Migliano,https://openalex.org/A5076698573,Andrea Bamberg Migliano,https://api.openalex.org/works?filter=author.id:A5076698573,35.0,112.0,
Andrea Baronchelli,https://openalex.org/A5109802080,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5109802080,0.0,1.0,
Andrea Baños-Ramos,https://openalex.org/A5117345727,Andrea Baños-Ramos,https://api.openalex.org/works?filter=author.id:A5117345727,0.0,2.0,
Andrea Civilini,https://openalex.org/A5031499875,Andrea Civilini,https://api.openalex.org/works?filter=author.id:A5031499875,4.0,14.0,
